Year,Week,Home Team,Away Team,Avg_Home_Score,Avg_Away_Score,%Win Home,%Win Away,Predicted Spread,Over_Under,Actual_Home_Score,Actual_Away_Score,Home_Offensive_Performance,Away_Offensive_Performance,Home_Defensive_Performance,Away_Defensive_Performance,Vegas_Spread,Vegas_Total
2024,0.0,Georgia Tech,Florida State,18.983,35.685,0.0,1.0,Florida State - 16.70,O/U: 54.67,24.0,21.0,1.264289100774377,0.5884825556956704,0.5884825556956704,1.264289100774377,Florida State -10.5,55.5
2024,0.0,Nevada,SMU,15.969,43.187,0.0,1.0,SMU - 27.22,O/U: 59.16,24.0,29.0,1.502911891790344,0.6714983675643134,0.6714983675643134,1.502911891790344,SMU -5,55.5
2024,1.0,Alabama,Western Kentucky,47.165,15.0,1.0,0.0,Alabama - 32.17,O/U: 62.17,63.0,0.0,1.3357362450969998,0.0,0.0,1.3357362450969998,Alabama -30.5,59.5
2024,1.0,Arizona,New Mexico,46.818,23.742,1.0,0.0,Arizona - 23.08,O/U: 70.56,61.0,39.0,1.3029176812337135,1.6426585797321205,1.6426585797321205,1.3029176812337135,Arizona -28.5,59.5
2024,1.0,Arizona State,Wyoming,29.659,26.965,0.74,0.26,Arizona State - 2.69,O/U: 56.62,48.0,7.0,1.618395765197748,0.2595957722974226,0.2595957722974226,1.618395765197748,Arizona State -6.5,47.5
2024,1.0,Charlotte,James Madison,15.08,39.534,0.0,1.0,James Madison - 24.45,O/U: 54.61,7.0,30.0,0.4641909814323607,0.7588404917286387,0.7588404917286387,0.4641909814323607,James Madison -6.5,50.5
2024,1.0,Florida,Miami,34.345,29.022,0.89,0.11,Florida - 5.32,O/U: 63.37,17.0,41.0,0.4949774348522347,1.412721383777824,1.412721383777824,0.4949774348522347,Miami -2.5,54.5
2024,1.0,Florida State,Boston College,39.969,17.729,1.0,0.0,Florida State - 22.24,O/U: 57.70,13.0,28.0,0.3252520703545247,1.5793332957301598,1.5793332957301598,0.3252520703545247,Florida State -17.5,50.5
2024,1.0,Georgia,Clemson,35.718,17.615,1.0,0.0,Georgia - 18.10,O/U: 53.33,34.0,3.0,0.9519010022957612,0.1703093954016463,0.1703093954016463,0.9519010022957612,Georgia-13.5,49.5
2024,1.0,Georgia Southern,Boise State,25.393,37.229,0.0,1.0,Boise State - 11.84,O/U: 62.62,45.0,56.0,1.7721419288780371,1.5042037121598757,1.5042037121598757,1.7721419288780371,Boise State -12.5,57.5
